year,ng_share_point,ng_share_low,ng_share_high,note
2014,0.846762884084833,0.826762884084833,0.866762884084833,F4.5 applied (F4.6 confirms mix stability 2014-2023)
2015,0.846762884084833,0.826762884084833,0.866762884084833,F4.5 applied (F4.6 confirms mix stability 2014-2023)
2016,0.846762884084833,0.826762884084833,0.866762884084833,F4.5 applied (F4.6 confirms mix stability 2014-2023)
2017,0.846762884084833,0.826762884084833,0.866762884084833,F4.5 applied (F4.6 confirms mix stability 2014-2023)
2018,0.846762884084833,0.826762884084833,0.866762884084833,F4.5 applied (F4.6 confirms mix stability 2014-2023)
2019,0.846762884084833,0.826762884084833,0.866762884084833,F4.5 applied (F4.6 confirms mix stability 2014-2023)
2020,0.846762884084833,0.826762884084833,0.866762884084833,F4.5 applied (F4.6 confirms mix stability 2014-2023)
2021,0.846762884084833,0.826762884084833,0.866762884084833,F4.5 applied (F4.6 confirms mix stability 2014-2023)
2022,0.846762884084833,0.826762884084833,0.866762884084833,F4.5 applied (F4.6 confirms mix stability 2014-2023)
2023,0.846762884084833,0.826762884084833,0.866762884084833,F4.5 applied (F4.6 confirms mix stability 2014-2023)
2024,0.846762884084833,0.826762884084833,0.866762884084833,F4.5 direct
