subsector,sector,scenario,total_S_scope_ggco2e,f_fraction,ets_fraction,S_F_E,S_E_only,S_F_only,S_only,F_only_outside_S
Industrias_energia,ENERGIA,central,4431.0,0.2672,0.95,1124.77,3084.68,59.2,162.35,0.0
Industrias_energia,ENERGIA,low,4431.0,0.2667,0.85,1004.49,2761.86,177.26,487.39,0.0
Industrias_energia,ENERGIA,high,4431.0,0.2667,0.99,1169.93,3216.76,11.82,32.49,0.0
Industrias_manufactura,ENERGIA,central,1965.8,0.4767,0.65,609.11,668.66,327.98,360.05,0.0
Industrias_manufactura,ENERGIA,low,1965.8,0.4767,0.5,468.55,514.35,468.55,514.35,0.0
Industrias_manufactura,ENERGIA,high,1965.8,0.4767,0.8,749.68,822.96,187.42,205.74,0.0
Ladrilleras,ENERGIA,central,12.1,0.5,0.0,0.0,0.0,6.05,6.05,0.0
Ladrilleras,ENERGIA,low,12.1,0.3,0.0,0.0,0.0,3.63,8.47,0.0
Ladrilleras,ENERGIA,high,12.1,0.7,0.0,0.0,0.0,8.47,3.63,0.0
Emisiones_fugitivas,ENERGIA,central,4.8,0.0,0.95,0.0,4.56,0.0,0.24,0.0
Emisiones_fugitivas,ENERGIA,low,4.8,0.0,0.85,0.0,4.08,0.0,0.72,0.0
Emisiones_fugitivas,ENERGIA,high,4.8,0.0,0.99,0.0,4.75,0.0,0.05,0.0
Caprolactama,IPPU,central,202.7,0.0,1.0,0.0,202.7,0.0,0.0,0.0
Caprolactama,IPPU,low,202.7,0.0,0.9,0.0,182.43,0.0,20.27,0.0
Caprolactama,IPPU,high,202.7,0.0,1.0,0.0,202.7,0.0,0.0,0.0
Acido_nitrico,IPPU,central,5.7,0.0,0.9,0.0,5.13,0.0,0.57,0.0
Acido_nitrico,IPPU,low,5.7,0.0,0.7,0.0,3.99,0.0,1.71,0.0
Acido_nitrico,IPPU,high,5.7,0.0,1.0,0.0,5.7,0.0,0.0,0.0
Autotransporte,ENERGIA_non_S,central,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7068.4
Autotransporte,ENERGIA_non_S,low,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7068.4
Autotransporte,ENERGIA_non_S,high,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7068.4
Aviacion,ENERGIA_non_S,central,0.0,1.0,0.0,0.0,0.0,0.0,0.0,88.6
Aviacion,ENERGIA_non_S,low,0.0,1.0,0.0,0.0,0.0,0.0,0.0,88.6
Aviacion,ENERGIA_non_S,high,0.0,1.0,0.0,0.0,0.0,0.0,0.0,88.6
Combustion_agricola,ENERGIA_non_S,central,0.0,1.0,0.0,0.0,0.0,0.0,0.0,257.8
Combustion_agricola,ENERGIA_non_S,low,0.0,1.0,0.0,0.0,0.0,0.0,0.0,257.8
Combustion_agricola,ENERGIA_non_S,high,0.0,1.0,0.0,0.0,0.0,0.0,0.0,257.8
Maquinaria_construccion,ENERGIA_non_S,central,0.0,1.0,0.0,0.0,0.0,0.0,0.0,52.8
Maquinaria_construccion,ENERGIA_non_S,low,0.0,1.0,0.0,0.0,0.0,0.0,0.0,52.8
Maquinaria_construccion,ENERGIA_non_S,high,0.0,1.0,0.0,0.0,0.0,0.0,0.0,52.8
Residencial_LP,ENERGIA_non_S,central,0.0,1.0,0.0,0.0,0.0,0.0,0.0,713.6
Residencial_LP,ENERGIA_non_S,low,0.0,1.0,0.0,0.0,0.0,0.0,0.0,713.6
Residencial_LP,ENERGIA_non_S,high,0.0,1.0,0.0,0.0,0.0,0.0,0.0,713.6
Comercial_LP,ENERGIA_non_S,central,0.0,1.0,0.0,0.0,0.0,0.0,0.0,168.8
Comercial_LP,ENERGIA_non_S,low,0.0,1.0,0.0,0.0,0.0,0.0,0.0,168.8
Comercial_LP,ENERGIA_non_S,high,0.0,1.0,0.0,0.0,0.0,0.0,0.0,168.8
