year,national_ghg_mt,ctax_coverage_point_mt,ctax_coverage_low_mt,ctax_coverage_high_mt,ctax_abs_share_point,ctax_abs_share_low,ctax_abs_share_high
2014,699.253547384132,225.71291709437003,207.43473214731384,240.51237575181833,0.3227912363673367,0.29665166937417115,0.3439558893216366
2015,741.6169075374017,265.11198041725584,244.8027567690758,281.2405738127845,0.35747833918401534,0.33009327899759316,0.3792262163313756
2016,769.0210667746709,268.55570459814487,247.61659035930563,285.18130975582,0.34921761730726913,0.3219893460108021,0.37083679768603833
2017,750.9750518107194,267.9664837444106,247.5434764031067,284.18835374910816,0.35682474817013043,0.3296294275105948,0.37842582528392277
2018,764.2575367525945,274.2879072498796,253.99398677602352,290.15568916875577,0.3588946056264697,0.3323408335039376,0.379656954907708
2019,760.4394520692562,264.3592304641449,244.4738748172646,280.1362651784761,0.3476400780427535,0.3214902569192313,0.3683873376324549
2020,692.82455033088,212.0450996804325,195.87733914480097,225.1747840480981,0.30605887100733326,0.28272286115042206,0.32500982238657516
2021,743.0234757504405,251.24506240560902,233.03237098740047,265.62200044676115,0.33813879454058426,0.31362719832242436,0.3574880324992257
2022,745.9346926177332,254.50162538599292,235.99525315858955,269.00515532524696,0.34118486230056144,0.31637522090627485,0.36062829358588794
2023,735.1411392108737,246.7368339348307,228.59329249847465,260.8361934132813,0.3356319225988178,0.31095157148170854,0.35481104171815503
2024,756.6926239181346,250.0493271573607,231.50135308277288,264.5432163107023,0.3304503298348698,0.3059384296414374,0.3496045923388343
