ipcc_code,description,co2_Gg,ch4_co2eq_sar,n2o_co2eq_sar,total_sar,ch4_co2eq_ar5,n2o_co2eq_ar5,total_ar5,sector_group,growth_2025,total_ar5_2025
1A1a,Generación de electricidad,13894.84,5.2,7.7,13907.74,6.933333333333334,6.58225806451613,13908.355591397849,electricity_generation,1.3193072302020017,18349.39409195162
1A1b,Refinación del petróleo,2948.8,1.1,1.63,2951.53,1.4666666666666668,1.3933870967741935,2951.6600537634413,petroleum_refining,1.3193072302020017,3894.146450028537
1A2,Industrias manufactureras,1975.5,0.79,1.29,1977.58,1.0533333333333332,1.102741935483871,1977.6560752688172,manufacturing,1.3301459359419088,2630.5711912096426
1A3a,Aviación,239.96,0.0,0.0,239.96,0.0,0.0,239.96,transport,1.4819023923700982,355.5972980731288
1A3b,Transporte terrestre,6915.71,3.39,49.98,6969.08,4.52,42.72483870967742,6962.9548387096775,transport,1.4819023923700982,10318.419433448822
1A3c,Ferrocarriles,48.51,0.05,5.8,54.36,0.06666666666666667,4.958064516129032,53.5347311827957,transport,1.4819023923700982,79.33324621467506
1A3d,Navegación marítima y fluvial,210.27,0.42,1.76,212.45,0.5599999999999999,1.5045161290322582,212.33451612903227,transport,1.4819023923700982,314.65902743436015
1A4a,Combustión comercial/institucional,74.31,0.12,0.04,74.47,0.15999999999999998,0.034193548387096775,74.5041935483871,other_energy,1.2354370225144111,92.04523904225675
1A4b_gn,Combustión residencial GN,100.19,0.19,0.06,100.44,0.2533333333333333,0.05129032258064516,100.49462365591397,other_energy,1.2354370225144111,124.15477862816866
1A4b_glp,Combustión residencial GLP,748.56,0.25,2.23,751.04,0.3333333333333333,1.9062903225806451,750.7996236559139,other_energy,1.2354370225144111,927.5656515544027
1A4c,Combustión agrícola,12.53,0.02,0.01,12.56,0.026666666666666665,0.008548387096774194,12.56521505376344,other_energy,1.2354370225144111,15.523531873274761
1B2,Industria petróleo y gas natural,678.77,2932.51,0.41,3611.69,3910.0133333333333,0.3504838709677419,4589.133817204301,fugitive_oil_gas,1.4400045408105349,6608.373535161376
2A4,Usos de caliza,50.14,0.0,0.0,50.14,0.0,0.0,50.14,ippu_caliza,0.8825271247739602,44.24991003616637
2B8,Negro de humo (carbon black),392.26,0.0,0.0,392.26,0.0,0.0,392.26,ippu_negro_humo,0.8825271247739602,346.1800899638336
2F1,Refrigeración y AC (HFC),0.0,0.0,0.0,0.0,0.0,0.0,0.0,ippu_hfc,0.8825271247739602,0.0
3A1,Fermentación entérica,0.0,1733.39,0.0,1733.39,2311.1866666666665,0.0,2311.1866666666665,afolu_livestock,1.2318683050814063,2847.0776017934118
3A2,Manejo de estiércol,0.0,45.18,20.19,65.37,60.239999999999995,17.2591935483871,77.4991935483871,afolu_livestock,1.2318683050814063,95.46880020162747
3B,Cambios de uso de suelo,3669.07,0.0,0.0,3669.07,0.0,0.0,3669.07,afolu_land_use,0.9716249621838776,3564.96
3C1f,Quema biomasa tierras forestales,0.0,1.47,0.8,2.27,1.96,0.6838709677419356,2.6438709677419356,afolu_agriculture,1.2318683050814063,3.256900847886196
3C1c,Quema biomasa tierras cultivo,0.0,50.24,19.23,69.47,66.98666666666666,16.438548387096773,83.42521505376344,afolu_agriculture,1.2318683050814063,102.7688782693314
3C4,N2O directas suelos gestionados,0.0,0.0,1079.06,1079.06,0.0,922.4222580645161,922.4222580645161,afolu_agriculture,1.2318683050814063,1136.302743611299
3C5,N2O indirectas suelos gestionados,0.0,0.0,93.45,93.45,0.0,79.88467741935484,79.88467741935484,afolu_agriculture,1.2318683050814063,98.40740217455554
3C7,Cultivo de arroz,0.0,4.48,0.0,4.48,5.973333333333334,0.0,5.973333333333334,afolu_agriculture,1.2318683050814063,7.3583600090196
4A,Eliminación de desechos,163.13,284.03,0.0,447.16,378.7066666666666,0.0,541.8366666666666,waste,1.239577958930967,671.6487893406253
4D1,Tratamiento aguas residuales,0.0,231.49,96.62,328.11,308.6533333333333,82.59451612903226,391.2478494623656,waste,1.239577958930967,484.9822106726894
